epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.283,1.94927,2.87061,1.85591,0.77586,0.80224,0.80246,0.35344,1.84833,1.16369,1.51693,0.0683903,0.00166367,0.00166367
2,205.386,1.66641,1.71782,1.60905,0.91784,0.91697,0.9462,0.53278,1.39981,0.87762,1.26768,0.0367228,0.00332951,0.00332951
3,306.512,1.58539,1.46431,1.54688,0.97868,0.94128,0.96528,0.54321,1.43866,0.73356,1.27457,0.00505202,0.00499207,0.00499207
4,407.331,1.52815,1.35748,1.52244,0.97472,0.93795,0.96587,0.5419,1.48813,0.72256,1.29256,0.00498891,0.00498891,0.00498891
5,509.195,1.51011,1.29963,1.5001,0.97392,0.93309,0.96452,0.58088,1.29961,0.65052,1.20188,0.00498029,0.00498029,0.00498029
6,616.077,1.47344,1.22708,1.47445,0.96448,0.94406,0.97009,0.66306,1.12672,0.58741,1.14732,0.00496922,0.00496922,0.00496922
7,713.792,1.45882,1.2114,1.47206,0.98338,0.94985,0.96968,0.68654,1.06649,0.58075,1.16253,0.00495572,0.00495572,0.00495572
8,809.558,1.42315,1.15434,1.43676,0.98733,0.94505,0.97267,0.715,0.99716,0.54143,1.14178,0.00493979,0.00493979,0.00493979
9,907.651,1.42443,1.15641,1.44098,0.98708,0.94114,0.97169,0.64613,1.17383,0.64035,1.21012,0.00492146,0.00492146,0.00492146
10,1004.16,1.41436,1.13116,1.42797,0.98818,0.94617,0.97083,0.701,0.97666,0.54038,1.08185,0.00490074,0.00490074,0.00490074
11,1101.07,1.37223,1.09502,1.3992,0.99383,0.95255,0.97401,0.61843,1.26322,0.58549,1.17784,0.00487765,0.00487765,0.00487765
12,1202.89,1.35452,1.08687,1.39718,0.99275,0.94048,0.97461,0.7073,1.04024,0.55876,1.11002,0.00485221,0.00485221,0.00485221
13,1299.63,1.3485,1.0806,1.38817,0.9818,0.95586,0.97273,0.67975,1.01333,0.56151,1.13503,0.00482445,0.00482445,0.00482445
14,1397.19,1.34898,1.06704,1.39067,0.99192,0.96071,0.97609,0.69959,1.06401,0.5393,1.13592,0.0047944,0.0047944,0.0047944
15,1492.76,1.35892,1.08575,1.38161,0.99288,0.95364,0.97501,0.71876,0.97855,0.53236,1.10119,0.00476208,0.00476208,0.00476208
16,1599.46,1.32873,1.05801,1.38239,0.98878,0.95475,0.97536,0.72477,0.98498,0.53066,1.08748,0.00472753,0.00472753,0.00472753
