epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5138,1.42057,1.22137,1.50468,0.99553,0.96728,0.98072,0.76858,0.83265,0.47903,1.03748,0.066893,0.000166367,0.000166367
2,173.753,1.36778,1.15272,1.46787,0.99594,0.96644,0.98195,0.81312,0.71991,0.42109,0.99568,0.0337262,0.000332951,0.000332951
3,257.879,1.35053,1.13461,1.44516,0.99628,0.96878,0.98129,0.81322,0.71316,0.45535,1.00419,0.000559159,0.000499207,0.000499207
4,348.322,1.33499,1.15776,1.46004,0.99543,0.97103,0.98278,0.81419,0.70641,0.42432,0.99829,0.000498891,0.000498891,0.000498891
5,439.636,1.33605,1.15232,1.44954,0.99535,0.96749,0.98064,0.80525,0.74338,0.45736,1.0106,0.000498029,0.000498029,0.000498029
6,534.059,1.33219,1.13704,1.45301,0.99538,0.96763,0.98198,0.79407,0.78308,0.44533,1.02054,0.000496922,0.000496922,0.000496922
7,624.265,1.32295,1.12479,1.43562,0.9978,0.96858,0.98267,0.80013,0.75279,0.43048,1.01365,0.000495572,0.000495572,0.000495572
8,714.321,1.31403,1.11851,1.43577,0.99538,0.97052,0.98185,0.79471,0.76496,0.44507,1.01694,0.000493979,0.000493979,0.000493979
9,809.84,1.31261,1.11698,1.43709,0.99315,0.96845,0.9819,0.78972,0.79326,0.46999,1.02365,0.000492146,0.000492146,0.000492146
10,905.51,1.30328,1.10738,1.41569,0.99414,0.96671,0.98146,0.80015,0.74387,0.44929,1.00788,0.000490074,0.000490074,0.000490074
11,993.832,1.32235,1.1328,1.43314,0.99602,0.9675,0.98127,0.79948,0.75746,0.45125,1.01981,0.000487764,0.000487764,0.000487764
12,1083.66,1.29442,1.10842,1.42768,0.9951,0.96944,0.98163,0.79572,0.75658,0.43478,1.02032,0.00048522,0.00048522,0.00048522
13,1169.98,1.28855,1.10969,1.42145,0.99524,0.96743,0.9803,0.79344,0.76158,0.45028,1.0223,0.000482444,0.000482444,0.000482444
14,1258,1.27644,1.10055,1.40894,0.99686,0.96765,0.98148,0.79915,0.73752,0.43636,1.0122,0.000479439,0.000479439,0.000479439
15,1342.59,1.26172,1.08345,1.38955,0.99461,0.96804,0.98112,0.80965,0.7312,0.43969,1.00686,0.000476207,0.000476207,0.000476207
16,1431.71,1.28219,1.10298,1.4145,0.9957,0.96821,0.98131,0.80455,0.744,0.41997,1.01488,0.000472752,0.000472752,0.000472752
17,1531.68,1.29722,1.12354,1.42831,0.99642,0.9682,0.98188,0.78428,0.80423,0.47862,1.04164,0.000469077,0.000469077,0.000469077
18,1627.39,1.2659,1.09436,1.40045,0.99568,0.96855,0.98095,0.81654,0.71455,0.44615,1.00353,0.000465186,0.000465186,0.000465186
19,1718.95,1.27878,1.106,1.4115,0.99553,0.96818,0.98193,0.80987,0.72506,0.42485,1.0072,0.000461082,0.000461082,0.000461082
20,1804.97,1.27151,1.10613,1.40435,0.9952,0.97285,0.98337,0.79142,0.7699,0.43011,1.01367,0.000456771,0.000456771,0.000456771
21,1890.36,1.25434,1.09442,1.4003,0.99532,0.97009,0.98034,0.81042,0.72652,0.44083,1.00853,0.000452255,0.000452255,0.000452255
22,1976.28,1.26227,1.09409,1.40476,0.99437,0.97074,0.98143,0.81141,0.72135,0.43162,1.00463,0.000447539,0.000447539,0.000447539
23,2061.94,1.26809,1.09816,1.40447,0.99628,0.96984,0.98286,0.81324,0.72638,0.41151,1.00913,0.000442629,0.000442629,0.000442629
24,2147.34,1.26102,1.08513,1.39976,0.99775,0.96869,0.98182,0.81443,0.72184,0.44627,1.00565,0.000437528,0.000437528,0.000437528
25,2235.51,1.25629,1.10063,1.40247,0.99732,0.96873,0.98185,0.80712,0.75136,0.42292,1.01073,0.000432243,0.000432243,0.000432243
26,2322.7,1.27652,1.11526,1.41248,0.99586,0.96971,0.98087,0.80358,0.75467,0.43817,1.01668,0.000426777,0.000426777,0.000426777
27,2410.01,1.26162,1.10626,1.403,0.99648,0.96997,0.98214,0.80989,0.73472,0.43203,1.0102,0.000421138,0.000421138,0.000421138
28,2493.6,1.24797,1.08282,1.38029,0.99589,0.96927,0.98142,0.8026,0.74721,0.43229,1.01118,0.000415329,0.000415329,0.000415329
29,2580.3,1.25238,1.08668,1.39527,0.99704,0.96718,0.98203,0.7982,0.75875,0.44933,1.00753,0.000409357,0.000409357,0.000409357
30,2665.29,1.24889,1.07752,1.38493,0.99654,0.97206,0.98018,0.80781,0.72719,0.44701,1.00725,0.000403228,0.000403228,0.000403228
31,2752.09,1.24466,1.08564,1.38908,0.99523,0.9696,0.98144,0.80164,0.7564,0.41075,1.00712,0.000396947,0.000396947,0.000396947
32,2836.77,1.25608,1.09846,1.38838,0.99688,0.96822,0.9813,0.79465,0.7899,0.4498,1.02061,0.000390522,0.000390522,0.000390522
33,2921.93,1.24309,1.07627,1.38074,0.99675,0.97012,0.9824,0.79069,0.78552,0.44647,1.01706,0.000383958,0.000383958,0.000383958
